#       Ef[,Ry] T [K],         N,     DOS(Ef),       S,     s/t,       R_H,  kappa0, c,   chi
-0.15208,600,5.83956413,158.86172,1.29551E-05,8.82477E+20,5.91064E-09,1.27182E+16,7.4391734,2.37167E-09
-0.15208,900,5.88079663,153.53912,1.95534E-05,8.77292E+20,5.6759E-09,1.89367E+16,11.004634,2.29221E-09
-0.15208,1200,5.92336627,150.45228,2.67737E-05,8.7335E+20,5.35531E-09,2.53497E+16,15.054317,2.24612E-09
-0.15158,300,5.76570523,164.63554,7.08742E-06,8.80709E+20,6.15449E-09,6.44849E+15,3.9744321,2.45787E-09
-0.15158,600,5.80007163,157.0632,1.31308E-05,8.78393E+20,5.99668E-09,1.26601E+16,7.4022152,2.34482E-09
-0.15158,900,5.84258758,152.12624,1.98186E-05,8.73195E+20,5.75281E-09,1.88194E+16,11.000794,2.27111E-09
-0.15158,1200,5.8858877,149.37295,2.70642E-05,8.68977E+20,5.42903E-09,2.5177E+16,15.068635,2.23001E-09
-0.15108,300,5.7248809,161.93683,7.05329E-06,8.76014E+20,6.26429E-09,6.42312E+15,3.9475012,2.41758E-09
-0.15108,600,5.76103988,155.17657,1.33029E-05,8.74268E+20,6.08231E-09,1.2601E+16,7.368167,2.31665E-09
-0.15108,900,5.80473686,150.67311,2.00888E-05,8.69052E+20,5.82922E-09,1.87028E+16,11.00059,2.24942E-09
-0.15108,1200,5.84868138,148.27463,2.73623E-05,8.64576E+20,5.50227E-09,2.50056E+16,15.086598,2.21361E-09
-0.15058,300,5.68474535,159.13468,6.99317E-06,8.71377E+20,6.37354E-09,6.39678E+15,3.9153611,2.37574E-09
-0.15058,600,5.72249016,153.20815,1.34727E-05,8.70106E+20,6.16728E-09,1.25408E+16,7.3369242,2.28727E-09
-0.15058,900,5.76725408,149.18333,2.03641E-05,8.64864E+20,5.90508E-09,1.85867E+16,11.003883,2.22718E-09
-0.15058,1200,5.81175177,147.15968,2.76678E-05,8.60143E+20,5.57501E-09,2.48354E+16,15.107971,2.19697E-09
-0.15008,300,5.64531857,156.27155,6.91517E-06,8.66841E+20,6.48106E-09,6.36902E+15,3.877097,2.333E-09
-0.15008,600,5.68444199,151.16548,1.36417E-05,8.65911E+20,6.25133E-09,1.24795E+16,7.3083018,2.25677E-09
-0.15008,900,5.73014792,147.66086,2.06446E-05,8.6063E+20,5.98029E-09,1.8471E+16,11.0105,2.20445E-09
-0.15008,1200,5.77510272,146.03054,2.79806E-05,8.55679E+20,5.64723E-09,2.46665E+16,15.132496,2.18011E-09
-0.14958,300,5.60661314,153.36519,6.83037E-06,8.62435E+20,6.58576E-09,6.33952E+15,3.8332303,2.28961E-09
-0.14958,600,5.6469129,149.05711,1.38115E-05,8.61685E+20,6.3342E-09,1.24168E+16,7.2820593,2.22529E-09
-0.14958,900,5.69342602,146.10996,2.09305E-05,8.5635E+20,6.0548E-09,1.83555E+16,11.020237,2.1813E-09
-0.14958,1200,5.73873746,144.88983,2.83004E-05,8.51182E+20,5.71891E-09,2.44989E+16,15.159902,2.16308E-09
-0.14908,300,5.56863943,150.41716,6.75145E-06,8.58176E+20,6.68671E-09,6.30811E+15,3.7851415,2.2456E-09
-0.14908,600,5.60991814,146.89235,1.39839E-05,8.5743E+20,6.41564E-09,1.23527E+16,7.2579221,2.19298E-09
-0.14908,900,5.65709493,144.53516,2.1222E-05,8.52023E+20,6.12852E-09,1.82403E+16,11.032857,2.15779E-09
-0.14908,1200,5.70265855,143.74022,2.86273E-05,8.4665E+20,5.79001E-09,2.43325E+16,15.189896,2.14592E-09
-0.14858,300,5.53140842,147.4229,6.69091E-06,8.54061E+20,6.78315E-09,6.27484E+15,3.7344538,2.2009E-09
-0.14858,600,5.5734706,144.68111,1.41605E-05,8.53146E+20,6.49539E-09,1.22873E+16,7.2355987,2.15997E-09
-0.14858,900,5.62116003,142.94128,2.15194E-05,8.47649E+20,6.20138E-09,1.81253E+16,11.048097,2.13399E-09
-0.14858,1200,5.66686785,142.58452,2.8961E-05,8.42082E+20,5.86052E-09,2.41674E+16,15.222174,2.12866E-09
-0.14808,300,5.49493209,144.37953,6.65935E-06,8.50068E+20,6.87459E-09,6.23997E+15,3.6826005,2.15546E-09
-0.14808,600,5.5375806,142.43373,1.4343E-05,8.48832E+20,6.57323E-09,1.22204E+16,7.2147918,2.12641E-09
-0.14808,900,5.58562546,141.33334,2.18229E-05,8.43227E+20,6.27333E-09,1.80103E+16,11.065671,2.10999E-09
-0.14808,1200,5.63136655,141.4256,2.93015E-05,8.37477E+20,5.93041E-09,2.40036E+16,15.256414,2.11136E-09
-0.14758,300,5.45922252,141.28995,6.66405E-06,8.46162E+20,6.96071E-09,6.20389E+15,3.6306283,2.10934E-09
-0.14758,600,5.50225586,140.16081,1.45329E-05,8.44486E+20,6.64896E-09,1.21522E+16,7.1952072,2.09248E-09
-0.14758,900,5.55049409,139.71655,2.21328E-05,8.38756E+20,6.34429E-09,1.78954E+16,11.085275,2.08585E-09
-0.14758,1200,5.59615508,140.26641,2.96485E-05,8.32834E+20,5.99967E-09,2.3841E+16,15.292285,2.09406E-09
-0.14708,300,5.42429017,138.16398,6.70838E-06,8.42303E+20,7.04134E-09,6.16705E+15,3.5791772,2.06267E-09
-0.14708,600,5.46750142,137.87314,1.47314E-05,8.40105E+20,6.72239E-09,1.20826E+16,7.176558,2.05833E-09
-0.14708,900,5.51576748,138.09625,2.24493E-05,8.34236E+20,6.41421E-09,1.77805E+16,11.106588,2.06166E-09
-0.14708,1200,5.56123312,139.10994,3.0002E-05,8.28152E+20,6.06826E-09,2.36797E+16,15.329445,2.07679E-09
-0.14658,300,5.39014223,135.0178,6.79195E-06,8.38446E+20,7.11635E-09,6.12985E+15,3.5285388,2.0157E-09
-0.14658,600,5.43331962,135.58156,1.49397E-05,8.35687E+20,6.79337E-09,1.20118E+16,7.1585686,2.02412E-09
-0.14658,900,5.48144581,136.47791,2.27726E-05,8.29664E+20,6.48304E-09,1.76656E+16,11.12928,2.0375E-09
-0.14658,1200,5.52659962,137.95925,3.03617E-05,8.23429E+20,6.13617E-09,2.35196E+16,15.367544,2.05961E-09
-0.14608,300,5.35678119,131.87266,6.91144E-06,8.34554E+20,7.18569E-09,6.09259E+15,3.4787356,1.96875E-09
-0.14608,600,5.39971007,133.29688,1.51586E-05,8.31226E+20,6.86178E-09,1.19398E+16,7.1409775,1.99001E-09
-0.14608,900,5.4475279,134.86703,2.31031E-05,8.25041E+20,6.55075E-09,1.75507E+16,11.153017,2.01345E-09
-0.14608,1200,5.49225276,136.8174,3.07276E-05,8.18666E+20,6.20338E-09,2.33608E+16,15.406225,2.04257E-09
-0.14558,300,5.32420376,128.75329,7.06184E-06,8.30597E+20,7.24926E-09,6.05543E+15,3.4296034,1.92218E-09
-0.14558,600,5.36666971,131.02979,1.53886E-05,8.26717E+20,6.92754E-09,1.18667E+16,7.1235401,1.95616E-09
-0.14558,900,5.41401121,133.26914,2.34408E-05,8.20365E+20,6.61729E-09,1.74357E+16,11.177461,1.98959E-09
-0.14558,1200,5.45818993,135.68746,3.10994E-05,8.1386E+20,6.26987E-09,2.32034E+16,15.445128,2.0257E-09
-0.14508,300,5.29240022,125.68586,7.23772E-06,8.26553E+20,7.307E-09,6.01841E+15,3.3808828,1.87638E-09
-0.14508,600,5.33419283,128.79076,1.56302E-05,8.22157E+20,6.9906E-09,1.17927E+16,7.1060321,1.92274E-09
-0.14508,900,5.38089179,131.68974,2.37858E-05,8.15635E+20,6.68265E-09,1.73208E+16,11.202282,1.96601E-09
-0.14508,1200,5.42440778,134.57252,3.1477E-05,8.09012E+20,6.33563E-09,2.30472E+16,15.483894,2.00905E-09
